framework,question_idx,em,total_tokens
reflexion,1678,1,4040
reflexion,5998,0,0
reflexion,2192,0,186533
reflexion,1175,0,74114
reflexion,4545,1,4193
reflexion,1674,0,6222
reflexion,279,0,6334
reflexion,5674,0,6246
reflexion,5036,0,158176
reflexion,4180,0,56619
reflexion,4597,0,14183
reflexion,5459,1,10952
reflexion,3153,0,100750
reflexion,7245,1,10716
reflexion,3055,0,61242
reflexion,5800,0,4350
reflexion,4738,0,121263
reflexion,645,1,15880
reflexion,2361,1,8538
reflexion,6080,0,109843
reflexion,2642,0,68607
reflexion,7153,0,186159
reflexion,5490,0,92196
reflexion,691,0,6346
reflexion,3794,1,6203
reflexion,4912,0,119403
reflexion,1102,1,6158
reflexion,2123,0,13175
reflexion,3007,1,54090
reflexion,2738,0,6122
reflexion,5975,1,6299
reflexion,3171,0,59038
reflexion,4911,1,8228
reflexion,6849,0,157441
reflexion,6370,1,8790
reflexion,3043,1,6324
reflexion,603,1,13463
reflexion,2894,0,170891
reflexion,7387,0,136292
reflexion,3693,0,163544
reflexion,6135,0,113872
reflexion,5441,1,8635
reflexion,3669,1,5948
reflexion,2379,1,6368
reflexion,1527,0,164341
reflexion,359,1,51277
reflexion,3792,0,6334
reflexion,6797,0,123689
reflexion,4444,0,26678
reflexion,7304,0,37998
reflexion,779,0,179747
reflexion,3324,1,6048
reflexion,3488,0,8466
reflexion,6469,0,65774
reflexion,2732,0,187036
reflexion,3094,0,8533
reflexion,6744,0,178669
reflexion,4475,0,14026
reflexion,1289,0,128584
reflexion,549,0,6350
reflexion,3351,0,121730
reflexion,628,0,158387
reflexion,5029,1,4126
reflexion,3599,0,171719
reflexion,7184,1,74042
reflexion,1061,1,6174
reflexion,5602,0,6325
reflexion,398,1,19677
reflexion,4241,1,4175
reflexion,2859,1,8308
reflexion,4615,0,68301
reflexion,4327,0,70074
reflexion,6863,1,8649
reflexion,4616,1,13173
reflexion,6755,1,6472
reflexion,194,1,6501
reflexion,4686,0,89206
reflexion,5492,0,183833
reflexion,3596,1,6257
reflexion,6127,1,29047
reflexion,1019,1,5946
reflexion,991,0,8312
reflexion,1399,1,10965
reflexion,1882,0,177989
reflexion,4057,0,160955
reflexion,928,1,20518
reflexion,1883,1,13353
reflexion,2389,0,69159
reflexion,4006,1,56160
reflexion,1001,0,26150
reflexion,1013,0,6609
reflexion,6613,1,8702
reflexion,163,0,8501
reflexion,1578,1,6263
reflexion,6995,0,117403
reflexion,5883,0,129706
reflexion,6239,1,6422
reflexion,3826,0,50540
reflexion,2274,0,16042
reflexion,1169,1,6254
reflexion,6119,1,6239
reflexion,2895,1,8592
reflexion,1268,1,3982
reflexion,3212,1,6126
reflexion,615,0,4138
reflexion,5758,0,21572
reflexion,4086,1,43888
reflexion,5561,1,31690
reflexion,6888,0,52059
reflexion,3704,1,51832
reflexion,6659,1,6401
reflexion,3303,0,163285
reflexion,1258,0,76065
reflexion,244,0,8134
reflexion,1109,1,10437
reflexion,242,0,106258
reflexion,7169,1,83379
reflexion,6575,1,14982
reflexion,1745,1,6093
reflexion,4223,1,10777
reflexion,4197,1,31027
reflexion,2767,1,4092
reflexion,3531,0,11710
reflexion,3486,0,109472
reflexion,4967,1,6536
reflexion,5935,0,16429
reflexion,1462,0,6285
reflexion,4125,1,6800
reflexion,2743,0,171646
reflexion,2196,1,130619
reflexion,6560,1,4035
reflexion,344,1,4102
reflexion,5430,0,96193
reflexion,5359,0,161326
reflexion,1818,0,169068
reflexion,3215,0,139862
reflexion,7137,1,8113
reflexion,3977,0,77175
reflexion,24,0,8856
reflexion,7285,1,6402
reflexion,6543,0,162969
reflexion,6485,0,72425
reflexion,110,1,6101
reflexion,3569,1,8839
reflexion,3916,0,136011
reflexion,4873,0,31029
reflexion,3729,1,6231
reflexion,6325,1,6057
reflexion,855,1,4103
reflexion,1244,1,6178
reflexion,6175,0,101703
reflexion,5147,0,8666
reflexion,3817,0,78689
reflexion,1306,1,8231
reflexion,6053,0,52260
reflexion,2680,1,82807
reflexion,1667,0,85646
reflexion,1642,1,8724
reflexion,4741,1,5810
reflexion,2489,0,95867
reflexion,935,0,142342
reflexion,4928,0,65430
reflexion,6284,1,18517
reflexion,5391,0,169991
reflexion,4569,0,96829
reflexion,772,1,6073
reflexion,4343,1,6457
reflexion,3883,0,6227
reflexion,5001,0,84030
reflexion,5099,0,52304
reflexion,6481,1,4288
reflexion,1378,1,10692
reflexion,5890,0,8892
reflexion,6991,1,16189
reflexion,1027,1,63451
reflexion,2371,1,4013
reflexion,869,0,4045
reflexion,1311,1,6254
reflexion,3424,1,5968
reflexion,1940,1,6005
reflexion,3427,1,6172
reflexion,423,0,112923
reflexion,4706,0,96602
reflexion,2910,1,6345
reflexion,1364,1,6234
reflexion,3576,0,13088
reflexion,1031,0,6092
reflexion,1049,0,19163
reflexion,5621,0,64181
reflexion,174,0,6471
reflexion,3533,1,13625
reflexion,5650,1,4077
reflexion,1962,0,131142
reflexion,1647,0,6222
reflexion,1375,1,6084
reflexion,4544,0,4042
reflexion,2734,0,86532
reflexion,2536,0,174266
reflexion,5270,1,6265
reflexion,7368,0,38348
reflexion,7207,0,27521
reflexion,6219,1,6477
reflexion,3770,0,144949
reflexion,6365,0,98527
reflexion,1479,1,6169
reflexion,2668,0,8511
reflexion,3774,0,6682
reflexion,4852,1,6140
reflexion,6081,0,173638
reflexion,7383,1,6528
reflexion,4466,1,32535
reflexion,1007,0,190417
reflexion,2226,1,6220
reflexion,5293,0,13299
reflexion,137,1,54470
reflexion,4715,0,49181
reflexion,2728,1,6345
reflexion,6949,1,3966
reflexion,5000,0,167981
reflexion,1355,0,8627
reflexion,6606,0,131398
reflexion,306,0,83443
reflexion,2121,1,4180
reflexion,6773,1,6324
reflexion,6816,1,9058
reflexion,5570,0,100566
reflexion,3156,1,4238
reflexion,4209,0,120808
reflexion,7359,0,84926
reflexion,219,0,56899
reflexion,2606,0,90636
reflexion,2807,1,8765
reflexion,4913,0,172187
reflexion,6052,0,6257
reflexion,7008,1,21278
reflexion,1472,0,6599
reflexion,6130,1,37781
reflexion,4756,1,6458
reflexion,3103,1,6565
reflexion,3426,1,6272
reflexion,5882,1,5981
reflexion,2446,0,176165
reflexion,450,1,8422
reflexion,1455,0,144721
reflexion,5979,0,8236
reflexion,6713,0,4199
reflexion,1610,0,173604
reflexion,1952,0,157761
reflexion,6115,0,88855
reflexion,4644,0,6153
reflexion,5066,1,10935
reflexion,6622,0,18700
reflexion,7107,0,8589
reflexion,5156,0,169629
reflexion,2810,1,8649
reflexion,6004,0,97565
reflexion,6008,1,140003
reflexion,6685,0,75972
reflexion,6291,1,8147
reflexion,1165,1,6227
reflexion,7261,0,167932
reflexion,3114,1,24239
reflexion,2862,0,115291
reflexion,1266,1,6166
reflexion,1105,1,6063
reflexion,7150,0,125077
reflexion,2075,0,165252
reflexion,5993,1,103530
reflexion,4387,1,8399
reflexion,1875,1,6339
reflexion,4403,1,6405
reflexion,1385,0,74188
reflexion,5342,1,10626
reflexion,4301,0,63614
reflexion,778,0,171011
reflexion,5922,0,6763
reflexion,7216,0,68299
reflexion,2869,1,6293
reflexion,5261,1,26411
reflexion,927,0,6529
reflexion,4071,0,107403
reflexion,516,0,91876
reflexion,7212,0,66525
reflexion,3915,1,16515
reflexion,4248,0,4182
reflexion,1162,1,6196
reflexion,1544,1,113308
reflexion,5113,1,30136
reflexion,973,1,6436
reflexion,1991,1,6104
reflexion,2517,0,167548
reflexion,15,0,160582
reflexion,1547,0,156996
reflexion,3699,0,71090
reflexion,6421,1,6015
reflexion,4212,1,49276
reflexion,1164,0,87236
reflexion,6836,1,6420
reflexion,5853,0,8658
reflexion,1523,1,6424
reflexion,6665,0,175229
reflexion,2955,0,6367
reflexion,1783,0,10735
reflexion,913,0,59470
reflexion,1396,1,6471
reflexion,1283,0,8163
reflexion,693,1,6193
reflexion,5696,0,6179
reflexion,5930,0,75929
reflexion,2566,0,16601
reflexion,1998,1,8303
reflexion,6479,1,8588
reflexion,189,1,6387
reflexion,5134,0,161355
reflexion,2802,0,15578
reflexion,4040,1,6217
reflexion,930,0,125122
reflexion,5225,1,52937
reflexion,6350,1,6124
reflexion,5732,0,8131
reflexion,925,0,159127
reflexion,1436,0,30920
reflexion,5889,0,75636
reflexion,5129,1,73612
reflexion,1182,1,8529
reflexion,2704,0,116161
reflexion,1144,1,10667
reflexion,2538,0,120061
reflexion,2905,1,6367
reflexion,6756,0,6060
reflexion,1793,1,6508
reflexion,545,0,16140
reflexion,743,1,10583
react,1888,0,18879
react,3545,0,3917
react,2587,0,13471
react,3726,0,7764
react,3469,0,6088
react,7385,0,10478
react,1873,1,6108
react,672,0,17590
react,6679,0,9778
react,3619,0,10764
react,449,0,8483
react,5874,0,5935
react,5858,0,3944
react,5159,1,6400
react,1079,0,15431
react,5999,0,13100
react,4055,1,6210
react,4806,0,3816
react,4188,1,6450
react,6895,0,15183
react,6611,1,6416
react,404,1,6149
react,251,1,3811
react,2709,0,16075
react,4136,0,1926
react,6282,0,6153
react,6253,0,17195
react,2053,1,13586
react,1891,0,3927
react,702,0,16910
react,6220,0,11132
react,6060,1,3801
react,5157,0,3899
react,6633,0,6335
react,7272,0,16505
react,3969,1,6358
react,2187,0,6399
react,2191,0,6244
react,3625,0,17453
react,647,1,4113
react,454,1,10920
react,3600,0,18508
react,4896,1,5753
react,6729,0,8369
react,5718,0,8276
react,2397,1,6083
react,2557,0,10215
react,885,0,15633
react,2046,1,6009
react,4651,0,8550
react,2661,0,12444
react,4028,1,6004
react,2580,1,5974
react,3888,1,5871
react,4153,1,8293
react,6718,0,6245
react,7397,1,3835
react,6700,1,3863
react,3736,1,10525
react,5988,0,16078
react,4449,0,17075
react,6997,0,15803
react,2481,1,5809
react,5884,0,12531
react,3864,0,14087
react,5965,0,6223
react,5043,1,15540
react,4255,0,10771
react,5155,1,6077
react,6649,0,5864
react,4214,0,6174
react,6807,1,10826
react,6357,0,3837
react,901,0,14327
react,167,1,5862
react,3124,0,16070
react,6526,1,6066
react,3880,1,3875
react,451,0,16569
react,7244,0,16741
react,5365,1,6340
react,6569,0,20211
react,1059,0,15798
react,3685,1,7719
react,325,0,6122
react,6460,0,19273
react,7352,1,6018
react,5404,0,4134
react,4247,0,15900
react,4381,0,7952
react,5235,1,11045
react,5542,1,5680
react,3355,1,5902
react,5608,0,5783
react,6074,0,6051
react,2690,0,15939
react,1297,0,3849
react,1180,0,6003
react,4933,0,8472
react,1419,0,12749
react,3006,0,5943
react,3807,0,5946
react,3613,0,3873
react,3542,0,13317
react,4799,0,8914
react,4733,1,6100
react,6905,0,15753
react,3788,0,3925
react,2513,1,8451
react,5337,0,11140
react,1417,0,8195
react,7333,1,6086
react,6796,0,10081
react,7280,0,17148
react,6416,0,15275
react,3164,0,6794
react,2299,0,5860
react,580,0,6162
react,5498,1,6114
react,1422,0,5949
react,5313,1,6235
react,5532,0,16737
react,32,0,3955
react,273,0,15130
react,1094,1,6094
react,2277,0,6218
react,2521,1,6270
react,6883,0,8058
react,2884,0,13481
react,975,0,10578
react,2951,0,3853
react,4037,0,6106
react,7270,1,5982
react,5285,0,16634
react,1910,0,8108
react,2594,0,6161
react,1815,0,6278
react,5341,0,6169
react,218,1,15277
react,87,1,6129
react,5187,0,16068
react,1418,0,10586
react,2658,0,10319
react,2852,1,6466
react,6477,0,15486
react,2708,1,8265
react,571,0,8197
react,1011,0,13676
react,4604,1,3846
react,3377,0,6107
react,879,0,3860
react,7116,0,16062
react,3340,1,11633
react,3494,1,4006
react,4693,0,6520
react,1039,0,6117
react,3897,1,5807
react,5389,1,8231
react,2853,0,8792
react,6149,1,5951
react,321,0,4029
react,5356,1,6080
react,5228,1,6102
react,12,0,16598
react,6989,0,15706
react,1927,0,10728
react,3476,0,6015
react,1678,1,3823
react,5998,0,16812
react,2192,0,16318
react,1175,0,6249
react,4545,1,3998
react,1674,0,6042
react,279,0,6109
react,5674,0,6080
react,5036,0,16869
react,4180,0,3940
react,4597,0,13972
react,5459,1,10767
react,3153,0,15573
react,7245,1,10547
react,3055,0,3761
react,5800,0,6347
react,4738,0,5905
react,645,1,10666
react,2361,0,10762
react,6080,0,3824
react,2642,0,6507
react,7153,0,15993
react,5490,0,6192
react,691,0,6140
react,3794,1,6024
react,4912,0,13739
react,1102,1,5983
react,2123,0,16082
react,3007,0,4010
react,2738,0,5913
react,5975,1,6126
react,3171,0,3871
react,4911,1,8036
react,6849,0,10710
react,6370,1,6398
react,3043,1,6170
react,603,1,13160
react,2894,0,17241
react,7387,0,14895
react,3693,0,15845
react,6135,0,15475
react,5441,1,8399
react,3669,1,5765
react,2379,1,6174
react,1527,0,16301
react,359,0,12981
react,3792,0,6027
react,6797,1,17217
react,4444,0,10849
react,7304,0,6563
react,779,0,14188
react,3324,1,5861
react,3488,0,8286
react,6469,0,10579
react,2732,0,18304
react,3094,0,8233
react,6744,0,16634
react,4475,0,13828
react,1289,0,16227
react,549,0,6217
react,3351,0,8722
react,628,0,16001
react,5029,1,3944
react,3599,0,17105
react,7184,0,15963
react,1061,1,5994
react,5602,0,6089
react,398,0,6266
react,4241,1,3983
react,2859,1,8100
react,4615,0,6199
react,4327,0,3977
react,6863,1,8457
react,4616,1,13452
react,6755,1,11258
react,194,1,6286
react,4686,0,8518
react,5492,0,16318
react,3596,1,6079
react,6127,1,10485
react,1019,1,5774
react,991,0,8079
react,1399,1,10779
react,1882,0,16436
react,4057,0,15974
react,928,0,8083
react,1883,0,5957
react,2389,0,8829
react,4006,1,14058
react,1001,0,15553
react,1013,0,6338
react,6613,1,6233
react,163,0,8256
react,1578,1,6068
react,6995,0,14019
react,5883,0,13657
react,6239,1,6249
react,3826,0,5952
react,2274,0,6003
react,1169,1,6128
react,6119,1,6051
react,2895,1,8386
react,1268,1,3800
react,3212,1,5980
react,615,0,3920
react,5758,0,10722
react,4086,0,15565
react,5561,1,15584
react,6888,0,5717
react,3704,0,6179
react,6659,1,6217
react,3303,0,14412
react,1258,0,8262
react,244,0,7946
react,1109,1,10235
react,242,0,16565
react,7169,0,16368
react,6575,0,17062
react,1745,1,5914
react,4223,1,10584
react,4197,0,15718
react,2767,1,3927
react,3531,0,8765
react,3486,0,3821
react,4967,1,6359
react,5935,0,16326
react,1462,0,6076
react,4125,1,6603
react,2743,0,15813
react,2196,0,16166
react,6560,1,3851
react,344,1,3922
react,5430,0,13285
react,5359,0,15651
react,1818,0,16869
react,3215,0,8336
react,7137,1,7863
react,3977,0,8406
react,24,0,8817
react,7285,1,6229
react,6543,0,16164
react,6485,0,11192
react,110,1,5925
react,3569,1,8650
react,3916,0,15468
react,4873,0,13828
react,3729,1,6052
react,6325,1,5889
react,855,1,3918
react,1244,1,6008
react,6175,0,10288
react,5147,0,6231
react,3817,0,8645
react,1306,1,7951
react,6053,0,5903
react,2680,0,8203
react,1667,0,10292
react,1642,1,8520
react,4741,1,5645
react,2489,0,10698
react,935,0,15411
react,4928,0,10422
react,6284,1,18053
react,5391,0,17295
react,4569,0,4032
react,772,1,5902
react,4343,1,6265
react,3883,0,6023
react,5001,0,11502
react,5099,0,6239
react,6481,1,4086
react,1378,1,10465
react,5890,0,8695
react,6991,0,15979
react,1027,0,16888
react,2371,1,3809
react,869,0,6068
react,1311,1,6075
react,3424,1,5799
react,1940,1,5829
react,3427,1,5996
react,423,0,16300
react,4706,0,8214
react,2910,1,6160
react,1364,1,8193
react,3576,0,13374
react,1031,0,5886
react,1049,0,8453
react,5621,0,5994
react,174,0,21222
react,3533,1,13386
react,5650,1,3898
react,1962,0,7835
react,1647,0,6022
react,1375,1,5906
react,4544,0,3831
react,2734,0,4122
react,2536,0,17374
react,5270,1,6261
react,7368,0,1972
react,7207,0,11302
react,6219,1,8596
react,3770,0,15117
react,6365,0,8245
react,1479,1,5989
react,2668,0,10361
react,3774,0,6449
react,4852,1,5944
react,6081,0,17901
react,7383,1,6347
react,4466,0,15765
react,1007,0,17664
react,2226,1,6039
react,5293,0,5938
react,137,0,13648
react,4715,0,3999
react,2728,1,6166
react,6949,1,3794
react,5000,0,12440
react,1355,0,8396
react,6606,0,16053
react,306,0,8471
react,2121,1,3990
react,6773,1,6136
react,6816,1,14056
react,5570,0,16225
react,3156,1,4015
react,4209,0,5983
react,7359,0,12847
react,219,0,8005
react,2606,0,8176
react,2807,1,8573
react,4913,0,16559
react,6052,0,6032
react,7008,1,13365
react,1472,0,6414
react,6130,0,15690
react,4756,1,6255
react,3103,1,6380
react,3426,1,6100
react,5882,1,5800
react,2446,0,13298
react,450,1,8402
react,1455,0,17003
react,5979,0,8010
react,6713,0,3973
react,1610,0,15907
react,1952,0,17317
react,6115,0,8562
react,4644,0,5939
react,5066,0,8281
react,6622,0,8406
react,7107,1,8379
react,5156,0,8037
react,2810,1,10708
react,6004,0,11216
react,6008,0,18834
react,6685,0,6402
react,6291,1,10404
react,1165,1,6035
react,7261,0,8490
react,3114,0,11958
react,2862,0,16712
react,1266,1,5996
react,1105,1,5893
react,7150,0,10734
react,2075,0,16146
react,5993,0,13250
react,4387,1,4023
react,1875,1,6152
react,4403,1,6226
react,1385,0,8911
react,5342,1,15809
react,4301,0,6033
react,778,0,16691
react,5922,0,6496
react,7216,0,6038
react,2869,1,6119
react,5261,0,15584
react,927,0,6273
react,4071,0,17049
react,516,0,6396
react,7212,0,3947
react,3915,0,5987
react,4248,0,4007
react,1162,1,6016
react,1544,0,10517
react,5113,1,15626
react,973,1,6223
react,1991,1,5922
react,2517,0,15496
react,15,0,6124
react,1547,1,3972
react,3699,0,8332
react,6421,1,5802
react,4212,0,15389
react,1164,0,8625
react,6836,1,6232
react,5853,0,8432
react,1523,1,6245
react,6665,0,18501
react,2955,0,6134
react,1783,0,8140
react,913,0,8228
react,1396,1,6296
react,1283,0,7937
react,693,1,5973
react,5696,0,5973
react,5930,0,6078
react,2566,0,4029
react,1998,1,8079
react,6479,1,8402
react,189,1,6187
react,5134,0,16728
react,2802,0,15431
react,4040,1,6041
react,930,0,10730
react,5225,0,5907
react,6350,1,5947
react,5732,0,12742
react,925,0,15179
react,1436,0,8101
react,5889,0,6148
react,5129,0,15909
react,1182,1,8337
react,2704,0,16318
react,1144,1,12858
react,2538,0,17725
react,2905,1,6196
react,6756,0,5839
react,1793,1,6321
react,545,0,15461
react,743,1,10409
cot_sc,1888,0,67662
cot_sc,3545,0,20986
cot_sc,2587,0,36921
cot_sc,3726,1,34114
cot_sc,3469,0,28102
cot_sc,7385,1,30885
cot_sc,1873,1,25393
cot_sc,672,0,60790
cot_sc,6679,0,37417
cot_sc,3619,0,53915
cot_sc,449,0,51635
cot_sc,5874,0,24558
cot_sc,5858,0,26031
cot_sc,5159,1,20997
cot_sc,1079,0,47437
cot_sc,5999,0,46984
cot_sc,4055,1,26028
cot_sc,4806,0,17550
cot_sc,4188,0,27063
cot_sc,6895,0,50497
cot_sc,6611,1,31366
cot_sc,404,1,25696
cot_sc,251,0,17571
cot_sc,2709,0,50508
cot_sc,4136,0,11436
cot_sc,6282,0,25824
cot_sc,6253,0,45117
cot_sc,2053,1,48462
cot_sc,1891,0,18412
cot_sc,702,0,59522
cot_sc,6220,1,38536
cot_sc,6060,1,20018
cot_sc,5157,0,18009
cot_sc,6633,1,41655
cot_sc,7272,0,57288
cot_sc,3969,1,26297
cot_sc,2187,0,26816
cot_sc,2191,0,25904
cot_sc,3625,0,59628
cot_sc,647,0,19168
cot_sc,454,1,30732
cot_sc,3600,0,50517
cot_sc,4896,1,24994
cot_sc,6729,0,31831
cot_sc,5718,1,40583
cot_sc,2397,1,25398
cot_sc,2557,0,40262
cot_sc,885,0,55048
cot_sc,2046,1,24983
cot_sc,4651,0,33389
cot_sc,2661,0,37996
cot_sc,4028,1,25053
cot_sc,2580,1,24713
cot_sc,3888,1,24266
cot_sc,4153,1,34913
cot_sc,6718,1,25764
cot_sc,7397,1,17610
cot_sc,6700,1,20124
cot_sc,3736,1,39456
cot_sc,5988,1,58513
cot_sc,4449,0,49154
cot_sc,6997,1,57268
cot_sc,2481,1,23847
cot_sc,5884,0,52335
cot_sc,3864,0,51402
cot_sc,5965,0,28264
cot_sc,5043,1,36822
cot_sc,4255,0,55462
cot_sc,5155,1,25055
cot_sc,6649,0,24140
cot_sc,4214,0,25572
cot_sc,6807,1,49334
cot_sc,6357,0,17546
cot_sc,901,0,39793
cot_sc,167,1,24132
cot_sc,3124,0,54831
cot_sc,6526,1,20599
cot_sc,3880,1,18003
cot_sc,451,0,53233
cot_sc,7244,0,61044
cot_sc,5365,1,26450
cot_sc,6569,0,66665
cot_sc,1059,0,56428
cot_sc,3685,1,37005
cot_sc,325,0,25382
cot_sc,6460,0,60524
cot_sc,7352,1,24717
cot_sc,5404,0,19489
cot_sc,4247,1,53016
cot_sc,4381,0,38171
cot_sc,5235,1,35965
cot_sc,5542,1,25938
cot_sc,3355,1,24473
cot_sc,5608,0,25974
cot_sc,6074,0,25080
cot_sc,2690,0,49201
cot_sc,1297,1,17632
cot_sc,1180,0,24930
cot_sc,4933,0,32950
cot_sc,1419,0,37842
cot_sc,3006,0,24694
cot_sc,3807,0,24587
cot_sc,3613,0,20177
cot_sc,3542,0,38381
cot_sc,4799,0,34952
cot_sc,4733,1,46465
cot_sc,6905,0,21835
cot_sc,3788,0,18222
cot_sc,2513,1,30516
cot_sc,5337,0,35961
cot_sc,1417,0,32197
cot_sc,7333,1,25338
cot_sc,6796,1,41866
cot_sc,7280,0,48908
cot_sc,6416,1,54990
cot_sc,3164,0,27328
cot_sc,2299,0,24338
cot_sc,580,0,25596
cot_sc,5498,1,34227
cot_sc,1422,0,24696
cot_sc,5313,1,26133
cot_sc,5532,0,54364
cot_sc,32,0,18270
cot_sc,273,0,49426
cot_sc,1094,1,25374
cot_sc,2277,0,26027
cot_sc,2521,1,25871
cot_sc,6883,0,22030
cot_sc,2884,1,43124
cot_sc,975,0,26127
cot_sc,2951,0,17784
cot_sc,4037,0,25350
cot_sc,7270,0,24826
cot_sc,5285,0,55444
cot_sc,1910,0,31815
cot_sc,2594,0,27794
cot_sc,1815,0,26309
cot_sc,5341,0,30478
cot_sc,218,1,55374
cot_sc,87,1,25417
cot_sc,5187,0,58698
cot_sc,1418,0,47172
cot_sc,2658,1,28416
cot_sc,2852,1,38825
cot_sc,6477,1,46095
cot_sc,2708,1,31833
cot_sc,571,0,33069
cot_sc,1011,0,43066
cot_sc,4604,0,17809
cot_sc,3377,0,25507
cot_sc,879,0,21543
cot_sc,7116,0,29744
cot_sc,3340,1,39025
cot_sc,3494,1,18345
cot_sc,4693,0,27205
cot_sc,1039,0,18372
cot_sc,3897,0,36446
cot_sc,5389,1,32390
cot_sc,2853,0,31535
cot_sc,6149,1,26723
cot_sc,321,0,18630
cot_sc,5356,1,25166
cot_sc,5228,1,25317
cot_sc,12,1,57013
cot_sc,6989,0,56013
cot_sc,1927,0,26299
cot_sc,3476,0,25531
cot_sc,1678,1,24081
cot_sc,5998,0,59717
cot_sc,2192,0,59656
cot_sc,1175,0,28726
cot_sc,4545,1,29999
cot_sc,1674,0,25316
cot_sc,279,0,25534
cot_sc,5674,0,27579
cot_sc,5036,0,53612
cot_sc,4180,0,18187
cot_sc,4597,0,36701
cot_sc,5459,1,37444
cot_sc,3153,0,64376
cot_sc,7245,1,37104
cot_sc,3055,0,17168
cot_sc,5800,0,21698
cot_sc,4738,0,50341
cot_sc,645,1,43429
cot_sc,2361,0,41493
cot_sc,6080,0,33264
