question_idx,question_text,answer,gt_answer,em,f1,llm_correct,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,action_pruned_happen,context_pruned_happen,total_pruning,visited_pages
2191,"Question: Where is the American honky tonk country band, whose first studio album was Honky Tonks and Cheap Motels, based?","Flint, Michigan","Flint, Michigan, United States",0,0.6666666666666666,0,3,0,6023,221,6244,0,0,0,0
3625,Question: What was the first comic book written by the writer who had a series developed into a 2010 film with Bruce Willis and Morgan Freeman?,null,Transmetropolitan,0,0.0,0,7,0,16797,656,17453,0,0,0,0
647,"Question: This art gallery is a museum was founded and built by the industrialist and philanthropist who briefly sat as a Liberal MP for Wirral and later, as Lord Leverhulme, in the House of Lords as a what?",peer,Peer,1,1.0,1,2,0,3941,172,4113,0,0,0,0
454,Question: Are Agee and To Shoot an Elephant both documentaries about war?,no,no,1,1.0,1,5,0,10562,358,10920,0,0,0,0
3600,"Question: Trilochanapala, last king of the Kabul Shahi dynasty, ruled in the site of which modern country?","Afghanistan, Pakistan, and India",Afghanistan,0,0.4,0,7,0,17490,1018,18508,0,0,0,0
4896,"Question: In the television series Green Hornet, which actor played the role of Kato?",Bruce Lee,Bruce Lee,1,1.0,1,3,0,5658,95,5753,0,0,0,0
6729,"Question: What flag features 13 stars, and has a creator who also has a memorial bridge named after her connecting Pennsylvania and New Jersey?",Betsy Ross flag,Betsy Ross,0,0.8,0,4,0,8085,284,8369,0,0,0,0
5718,"Question: Who brewed the first espresso coffee in space, Patrick Baudry or Samantha Cristoforetti?",null,Samantha Cristoforetti,0,0.0,0,4,0,8074,202,8276,0,0,0,0
2397,"Question: Which refers to more breeds, Stabyhoun or Griffon Bruxellois?",Griffon Bruxellois,Griffon Bruxellois,1,1.0,1,3,0,5938,145,6083,0,0,0,0
2557,"Question: The album that contains the song ""Get Together"" by Madonna was mainly recorded in whose home studio?",Stuart Price's home studio,Stuart Price,0,0.3333333333333333,1,5,0,9944,271,10215,0,0,0,0
885,Question: What tribe was the Megaoryzomys curioi previously in that Nesoryzomys are also in?,null,Oryzomyini,0,0.0,0,7,0,15041,592,15633,0,0,0,0
2046,"Question: Which player won more Grand Slam titles, Kevin Ullyett or Billie Jean King?",Billie Jean King,Billie Jean King,1,1.0,1,3,0,5846,163,6009,0,0,0,0
4651,"Question: What major landform lended its name to both the Blue Ridge Music Center, and American's longest linear park?",Blue Ridge Mountains,469 mi,0,0.0,0,4,0,8165,385,8550,0,0,0,0
2661,Question: What was the 2010 population of the town where Bennett Hill Farm is located?,null,"8,648",0,0.0,0,6,0,12131,313,12444,0,0,0,0
4028,Question: What was the nationality of the person Mountbatten Institute was named after?,British,British,1,1.0,1,3,0,5868,136,6004,0,0,0,0
2580,Question: Were both Terence Fisher and Leopoldo Torre Nilsson British film directors?,no,no,1,1.0,1,3,0,5856,118,5974,0,0,0,0
3888,Question: In what county is the General Motors Technical Center located?,Macomb County,Macomb County,1,1.0,1,3,0,5745,126,5871,0,0,0,0
4153,Question: The Sophia Amalia was named after the wife of a king that ruled which two countries in 1648?,Denmark and Norway,Denmark and Norway,1,1.0,1,4,0,8042,251,8293,0,0,0,0
6718,"Question: Oak Beach, New York and Great South Bay are both situated between what same island?",Jones Beach Island,Long Island,0,0.4,0,3,0,5926,319,6245,0,0,0,0
7397,"Question: Which airport is operated by the Coos Country Airport District, Southwest Oregon Regional Airport or Lawton–Fort Sill Regional Airport?",Southwest Oregon Regional Airport,Southwest Oregon Regional Airport,1,1.0,1,2,0,3737,98,3835,0,0,0,0
6700,"Question: Which breed of dog is extinct, the Hawaiian Poi Dog or the Dandie Dinmont Terrier?",Hawaiian Poi Dog,Hawaiian Poi Dog,1,1.0,1,2,0,3777,86,3863,0,0,0,0
3736,"Question: What topic does GeekDad cover that pertains to a line of plastic construction toys that are manufactured by a privately held company based in Billund, Denmark?",Lego,Lego,1,1.0,1,5,0,10267,258,10525,0,0,0,0
5988,Question: 3:10 to Yuma starred what American actor also known for his role as Hoban Washburne?,null,Alan Tudyk,0,0.0,0,7,0,15618,460,16078,0,0,0,0
4449,Question: Who starred in the 1991 American action comedy film The Hard Way and was featured on the roster of Rawkus Records?,null,Mos Def,0,0.0,0,7,0,16415,660,17075,0,0,0,0
6997,"Question: Which magazine produces more print editions yearly, Nautilus or TV Guide?",null,TV Guide,0,0.0,0,7,0,15312,491,15803,0,0,0,0
2481,"Question: Were both the One, Inc. v. Olesen and  Erie Railroad Co. v. Tompkins cases ones that included a ruling by the United States Supreme Court?",yes,yes,1,1.0,1,3,0,5644,165,5809,0,0,0,0
5884,Question: Who is the controlling shareholder of the world's fourth-largest tyre manufacturer?,null,Jürgen M. Geissinger,0,0.0,0,6,0,12126,405,12531,0,0,0,0
3864,Question: Travis McGee was a precursor to what contemporary mystery protagonist in a series that has been on multiple best seller lists?,Jack Reacher,Stephanie Plum,0,0.0,0,6,0,13216,871,14087,0,0,0,0
5965,"Question: How many miles west of Phoenix, Arizona is the base where the 63d Fighter Squadron is assigned?",15 miles,15,0,0.6666666666666666,0,3,0,6064,159,6223,0,0,0,0
5043,"Question: The actress who portrayed C. C. Babcock on ""The Nanny"" played alongside which actor who portrayed Punk #1 in ""Interface""?",Lou Diamond Phillips,Lou Diamond Phillips,1,1.0,1,8,1,15207,333,15540,0,0,0,0
4255,Question: In what year did the American Record company established in 1958 release a record co-produced by Adam Faith?,null,January 1974,0,0.0,0,5,0,10362,409,10771,0,0,0,0
5155,Question: Who directed a 2006 film where Ron Perkins character plays the manager of a hotel?,Christopher Nolan,Christopher Nolan,1,1.0,1,3,0,5932,145,6077,0,0,0,0
6649,Question: Erskine Academy is located in a village in what county?,Kennebec County,"Kennebec County, Maine",0,0.8,1,3,0,5687,177,5864,0,0,0,0
4214,"Question: Who was born first, Brooklyn Decker or Andy Roddick?",Andy Roddick,Andrew Stephen Roddick,0,0.4,1,3,0,5974,200,6174,0,0,0,0
6807,"Question: Which magazine was first published earlier, The Chronicle of Philanthropy or Skeptic?",The Chronicle of Philanthropy,The Chronicle of Philanthropy,1,1.0,1,5,0,10589,237,10826,0,0,0,0
6357,Question: Ali Eren Balıkel started a restaurant which hosted a number of famous figures including an English actor who won three consecutive what?,null,BAFTA Awards for Best Actress,0,0.0,0,2,0,3691,146,3837,0,0,0,0
901,"Question: The True Colors World Tour was by what artist whose debut album was ""She's So Unusual""?",null,"Cynthia Ann Stephanie ""Cyndi"" Lauper",0,0.0,0,6,0,13732,595,14327,0,0,0,0
167,Question: Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,Wichita,1,1.0,1,3,0,5702,160,5862,0,0,0,0
3124,Question:  The Type 90 tank built by Mitsubishi Heavy Industries is to be superseded by what generation of main battle tank of the Japanese Ground Self Defense Force?,null,4th,0,0.0,0,7,0,15601,469,16070,0,0,0,0
6526,Question: Harold Brent Wallis as producer and Humphrey Bogart as actor collaborated to make what 1942 film?,Casablanca,Casablanca,1,1.0,1,3,0,5881,185,6066,0,0,0,0
3880,Question: The Cromwell station is located in which Maryland county?,Anne Arundel County,Anne Arundel County,1,1.0,1,2,0,3759,116,3875,0,0,0,0
451,Question: The 1st Virginia Regiment saw action at a battle that led to the departure of what Royal Governor?,null,Royal Governor Lord Dunmore,0,0.0,0,7,0,15974,595,16569,0,0,0,0
7244,Question: The 2017 Los Angeles Chargers season was the first season under which coach that began his professional coaching career with the Denver Broncos in 2000?,null,Anthony Lynn,0,0.0,0,7,0,16269,472,16741,0,0,0,0
5365,"Question: Who was born first, Lecrae Devaughn Moore or Gawvi?",Lecrae Devaughn Moore,Lecrae Devaughn Moore,1,1.0,1,3,0,6162,178,6340,0,0,0,0
6569,"Question: Which Canadian Province was captured with the support of the Mi'kmaq, Maliseet, Passamaquoddy, Abenaki, and Penobscot?",null,Nova Scotia,0,0.0,0,7,0,19396,815,20211,0,0,0,0
1059,Question: Vivian Pinn taught at which college founded in Massachusetts in 1852?,Tufts University,Tufts College,0,0.5,1,7,0,15452,346,15798,0,0,0,0
3685,Question: Are Yucca and Rodgersia both perennials?,yes,yes,1,1.0,1,4,0,7570,149,7719,0,0,0,0
325,Question: Katherine Waterston and Chrisann Brennan has what in common?,Katherine Waterston portrayed Chrisann Brennan in the film Steve Jobs,Steve Jobs,0,0.3636363636363636,1,3,0,5874,248,6122,0,0,0,0
6460,"Question: What kind of subgenre of a dark wave music, developed in 1980s in the UK, is using the musical duo from Melbourne, Australia?",null,Ethereal,0,0.0,0,7,0,17765,1508,19273,0,0,0,0
7352,Question: Who owns and operates the location where ROH 13th Anniversary Show took place?,Boyd Gaming,Boyd Gaming,1,1.0,1,3,0,5885,133,6018,0,0,0,0
5404,Question: What is the genus and species of the bear in which the Florida black bear is a subspecies of?,"Genus: Ursus, Species: americanus",Ursus americanus,0,0.6666666666666666,1,2,0,3982,152,4134,0,0,0,0
4247,Question: When was the head coach representing the Eastern Conference during the 2000 NBA All-Star Game born?,null,"January 19, 1962",0,0.0,0,7,0,15420,480,15900,0,0,0,0
4381,"Question: How many albums does the duo who sang ""Yesterday Once More"" have? ",10,11 albums,0,0.0,0,4,0,7791,161,7952,0,0,0,0
5235,Question: Are both American bands The Four Seasons and Local H popular around the Beatles were around?,No,no,1,1.0,1,5,0,10757,288,11045,0,0,0,0
5542,Question: The W. H. Shipman House is in what Hawaii county?,Hawaii County,Hawaii County,1,1.0,1,3,0,5570,110,5680,0,0,0,0
3355,Question: Who voices the character that stars in Baseball Bugs?,Mel Blanc,Mel Blanc,1,1.0,1,3,0,5808,94,5902,0,0,0,0
5608,Question: What company did Rex Maughan aquire?,null,Aloe Vera of America,0,0.0,0,3,0,5618,165,5783,0,0,0,0
6074,Question: Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40,40 members,0,0.6666666666666666,1,3,0,5902,149,6051,0,0,0,0
2690,Question: Who served as the 1st Vice President of Colombia under El Libertador?,null,Antonio Hilarión Zea Díaz,0,0.0,0,7,0,15516,423,15939,0,0,0,0
1297,"Question: Tryon D. Lewis is a lawyer from Odessa, Texas which is located in what county?",Ector County and Midland County,Ector County,0,0.5714285714285715,0,2,0,3731,118,3849,0,0,0,0
1180,"Question: When was the American patriot Hamilton, New York Wass named after born?","January 11, 1755 or 1757","January 11, 1755 or 1757July",0,0.8000000000000002,1,3,0,5823,180,6003,0,0,0,0
4933,"Question: Which  American politician and lawyer contested in San Francisco mayoral election, 2003",Matt Gonzalez,Matthew Edward,0,0.0,1,4,0,8207,265,8472,0,0,0,0
1419,Question: Richard Münch portrayed the German general who served in what capacity during WWII in the 1970 movie Patton?,Chief of the Operations Staff of the Oberkommando der Wehrmacht,Oberkommando der Wehrmacht,0,0.5454545454545454,1,6,0,12353,396,12749,0,0,0,0
3006,"Question: What is another name, in Swedish, for a seductive forest creature found in Scandinavian folklore?",skogsrå or Tallemaja,Rå,0,0.0,1,3,0,5691,252,5943,0,0,0,0
3807,Question: What conference does the team that drafted Derrick Hamilton in 2004 belong to?,National Football Conference,National Football Conference (NFC) West,0,0.7499999999999999,0,3,0,5740,206,5946,0,0,0,0
3613,Question: When is the football club which Stan Spinks played for founded,1902,in 1902,0,0.6666666666666666,1,2,0,3727,146,3873,0,0,0,0
3542,Question: Which actress worked closely withCharpes Lane? ,null,Lucille Ball,0,0.0,0,6,0,12679,638,13317,0,0,0,0
4799,Question: The type of language spoken in Cadore is of which family?,Indo-European,Romance language,0,0.0,0,4,0,8564,350,8914,0,0,0,0
4733,"Question: Which author found inspiration in their career prior to writing, Hart Crane or John le Carré?",John le Carré,John le Carré,1,1.0,1,3,0,5890,210,6100,0,0,0,0
6905,"Question: ""The Parasite"" is a kind of text that has how many words?",null,"between 7,500 and 40,000",0,0.0,0,7,0,15314,439,15753,0,0,0,0
3788,"Question: Thomas Maclellan of Bombie was Provost of what town, as well as constructing MacLellan's Castle in the center of that town?",Kirkcudbright,"Kirkcudbright, southwest Scotland",0,0.5,1,2,0,3771,154,3925,0,0,0,0
2513,"Question: The title track of Carla Bruni discography was used in a  film directed by James Ivory, and was also used in what other film?",(500) Days of Summer,(500) Days of Summer,1,1.0,1,4,0,8215,236,8451,0,0,0,0
5337,Question: How do the Peter Laufer books Forbidden Creatures and No Animals Were Harmed differ in their focus on animals?,"Forbidden Creatures focuses on animal smuggling and exotic pets, while No Animals Were Harmed explores the ethical line between using animals for entertainment, food, or science and animal abuse.",his own opinions changed,0,0.0,1,5,0,10778,362,11140,0,0,0,0
1417,"Question: Who was born earlier, Robert Mulligan or James Foley?",Robert Mulligan,Robert Patrick Mulligan,0,0.8,1,4,0,7980,215,8195,0,0,0,0
7333,Question: The teaching method that Maggie Gripenberg was the first to introduce to Finland is used to teach what?,music,music,1,1.0,1,3,0,5941,145,6086,0,0,0,0
6796,Question: Are both French Spaniel and Beagle universally recognized breeds?,null,no,0,0.0,0,5,0,9797,284,10081,0,0,0,0
7280,Question: Who coined the phrase that marked the period which included Sir Alexander Woodford's command of the 2nd battalion of the coldstream guards at the battle of waterloo?,null,"the prefect of Paris, Gaspard",0,0.0,0,7,0,16340,808,17148,0,0,0,0
6416,"Question: Which brother of John F. Kennedy had a memoir released September 14, 2009?",null,Ted Kennedy,0,0.0,0,7,0,14816,459,15275,0,0,0,0
3164,Question: Loch Shiel is part of the river that drains into the sea near the castle that sits west of what town?,Fort William,Acharacle,0,0.0,0,3,0,6431,363,6794,0,0,0,0
2299,Question: Where are schools in the athletic association Cardinal Hayes High School is part of located?,"New York City, Long Island, Westchester, and Buffalo","New York City, Long Island, and Westchester",0,0.9333333333333333,0,3,0,5683,177,5860,0,0,0,0
580,Question: My Secret Hotel is a television series starring a South Korean DJ who rose to fame as the lead actress in what?,Queen and I,Queen In-hyun's Man,0,0.3333333333333333,1,3,0,6012,150,6162,0,0,0,0
5498,"Question: When was the band who composited ""Discipline"" formed?",1968,1968,1,1.0,1,3,0,6003,111,6114,0,0,0,0
1422,"Question: North Blenheim, New York was destroyed by flooding caused by the Hurricane that landed in what month?",August,August 2011,0,0.6666666666666666,0,3,0,5787,162,5949,0,0,0,0
5313,Question: Which one of Ricardo Rodríguez Saá's relatives would become governor from 1983 to 2001?,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,1,1.0,1,3,0,5987,248,6235,0,0,0,0
5532,"Question: What product is being built at a 107,000 acre industrial park for Tesla Motors?","lithium-ion batteries, electric vehicle components, Tesla Powerwall, Tesla Semi",lithium-ion battery,0,0.1818181818181818,1,7,0,16124,613,16737,0,0,0,0
32,Question: Which  French ace pilot and adventurer fly L'Oiseau Blanc,Charles Nungesser,Charles Eugène,0,0.5,0,2,0,3787,168,3955,0,0,0,0
273,"Question: on 16 January 1995 ""First Knight"" was being filmed at a studio located how far from Windsor ?",null,7 miles,0,0.0,0,7,0,14706,424,15130,0,0,0,0
1094,"Question: When was the composer of ""Persian Surgery Dervishes"" born?","June 24, 1935","June 24, 1935",1,1.0,1,3,0,5974,120,6094,0,0,0,0
2277,Question: Cooperative Living Organization is located in a city that is the county seat of what county in Florida?,Alachua County,Alachua,0,0.6666666666666666,1,3,0,6043,175,6218,0,0,0,0
2521,"Question: Who was the director of the 2007 American action film starring the actress, professionally known as Maggie Q.?",Len Wiseman,Len Wiseman,1,1.0,1,3,0,6113,157,6270,0,0,0,0
6883,Question: What type of area did Michel Thomas work in when he was in the French Resistance?,rural areas,rural,0,0.6666666666666666,0,4,0,7855,203,8058,0,0,0,0
2884,Question: Who was one of the first religious sceptics’ best disciple?,Timon of Phlius,Plato,0,0.0,0,6,0,12904,577,13481,0,0,0,0
975,Question: Selena Quintanilla-Pérez's assistant and head of her fan club will be eligible for parole on what date?,2025,"March 30, 2025",0,0.5,0,5,0,10223,355,10578,0,0,0,0
2951,Question: Who is known for composing  American Beauty: Original Motion Picture Score and many other film scores?,Thomas Newman,Thomas Montgomery Newman,0,0.8,1,2,0,3748,105,3853,0,0,0,0
4037,Question: What is another name for a forest which has the hamlet of Oakenclough on the edge of it?,Bowland Fells or Chase of Bowland,"""Switzerland of England""",0,0.2222222222222222,0,3,0,5906,200,6106,0,0,0,0
7270,Question: Was Without the King and Italy in a Day directed by the same person?,no,no,1,1.0,1,3,0,5840,142,5982,0,0,0,0
5285,"Question: What age did a wrestler began his training at who began his friendship with Trevor Mann in Brookport, Illinois CPW?",null,15,0,0.0,0,7,0,15869,765,16634,0,0,0,0
1910,Question: In what county is The Third Fitzwilliam Meetinghouse located?,Cheshire County,"Cheshire County, New Hampshire",0,0.6666666666666666,1,4,0,7878,230,8108,0,0,0,0
2594,"Question: The NG postcode area is situated approximately how many miles from Gamston, Rushcliffe?",0 miles,approximately 3 mi,0,0.0,0,3,0,5848,313,6161,0,0,0,0
1815,Question: Where is the English punk rock band which Howard Devoto is the original singer of formed,Bolton,in Bolton,0,0.6666666666666666,1,3,0,6141,137,6278,0,0,0,0
5341,Question: Which publisher released the prequel to the 2012 novel Boneland in 1960?,Collins,Sir William Collins,0,0.5,1,3,0,5930,239,6169,0,0,0,0
218,Question: Which suburb is a soap opera featuring a character named Beverly Marshall set in?,Erinsborough,Erinsborough,1,1.0,1,7,0,14923,354,15277,0,0,0,0
87,Question: Where are Teide National Park and Garajonay National Park located?,"Canary Islands, Spain","Canary Islands, Spain",1,1.0,1,3,0,5993,136,6129,0,0,0,0
5187,"Question: Who wrote the music for Billy Elliot the Musical and had at least one song on the ""Billboard"" Hot 100 for 31 consecutive years?",null,Elton John,0,0.0,0,7,0,15522,546,16068,0,0,0,0
1418,Question: The Missouri attorney general election of 2012 ended in a loss for which attorney and CNN contributor?,null,Edward Robert Martin Jr.,0,0.0,0,5,0,10207,379,10586,0,0,0,0
2658,Question: John Alexander and Trent Alexander-Arnold are professional footballers from which country?,null,England,0,0.0,0,5,0,9895,424,10319,0,0,0,0
2852,Question: James Garner had a role in the 2004 romantic drama directed by whom?,Nick Cassavetes,Nick Cassavetes,1,1.0,1,3,0,6333,133,6466,0,0,0,0
6477,"Question: Robert Jan van Pelt testified for the defense in this ""Churchill's War"" author's civil libel suit?",null,David Irving,0,0.0,0,7,0,14907,579,15486,0,0,0,0
2708,"Question: Are McFarland, USA and The Black Hole both sports films?",no,no,1,1.0,1,4,0,8043,222,8265,0,0,0,0
571,Question: What was the release date and price for the release of Mac OS X that has the software for creating WWF files?,"April 29, 2005, US$129.95","April 29, 2005 for US$129.95",0,0.888888888888889,1,4,0,7985,212,8197,0,0,0,0
1011,"Question: What award does Crystal Palace F.C. present, first won by John McCormick and most recently by Wilfried Zaha?",Crystal Palace Football Club Player of the Year,Player of the Year,0,0.6,0,6,0,13005,671,13676,0,0,0,0
4604,Question: Which college football team for the University of Oregon did Enoka Lucas played for ,Oregon Ducks,The Oregon Ducks,1,1.0,1,2,0,3743,103,3846,0,0,0,0
3377,Question: The 2014 Baylor Bears football games were played at the stadium whose name was changed during what month?,December,December 2013,0,0.6666666666666666,0,3,0,5935,172,6107,0,0,0,0
879,Question: Why is Minister Pool important to Black Country and the West Midlands in England?,null,defence of the Cathedral,0,0.0,0,2,0,3623,237,3860,0,0,0,0
7116,Question: The 2011 Tennessee Tech Golden Eagles football team competed in a conference with how many members competing in football?,null,9,0,0.0,0,7,0,15569,493,16062,0,0,0,0
3340,Question: What film adaptation do both Jerome Bernard and Ira Lewis have in common?,Chinese Coffee,Chinese Coffee,1,1.0,1,5,0,11088,545,11633,0,0,0,0
3494,"Question: When was the novella written whose film adaptation was played during the Christmas season of ""Afternoon movie"" and contained the character of Ebenezer Scrooge?",1843,1843,1,1.0,1,2,0,3904,102,4006,0,0,0,0
4693,Question: Inductivism was a scientific method attributed to a man that served in what two capacities?,Attorney General and Lord Chancellor,Attorney General and as Lord Chancellor of England,0,0.7692307692307693,1,3,0,6360,160,6520,0,0,0,0
1039,Question: What is the English translation of the social group which Baran Khan Kudezai was a part of?,Afghanistan Grand Council/Assembly,grand assembly,0,0.4,1,3,0,5831,286,6117,0,0,0,0
3897,Question: What variety of mockingbird is the mascot of the University of Tennessee at Chattanooga?,northern mockingbird,northern mockingbird,1,1.0,1,3,0,5650,157,5807,0,0,0,0
5389,"Question: Which band released more albums, Forest for the Trees or Jon Spencer Blues Explosion?",Jon Spencer Blues Explosion,Jon Spencer Blues Explosion,1,1.0,1,4,0,8072,159,8231,0,0,0,0
2853,Question: John Stark Regional High School serves the community in which New Hampshire county?,null,Merrimack,0,0.0,0,4,0,8453,339,8792,0,0,0,0
6149,"Question: Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,Midnight Oil,1,1.0,1,3,0,5822,129,5951,0,0,0,0
321,"Question: What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",FIFA Women's World Cup,international football competition,0,0.0,1,2,0,3837,192,4029,0,0,0,0
5356,Question: Are Portland International Airport and Gerald R. Ford International Airport both located in Oregon?,no,no,1,1.0,1,3,0,5933,147,6080,0,0,0,0
5228,Question: 2006 KNVB Cup Final had two goals scored by a player of what nationality?,Dutch,Dutch,1,1.0,1,3,0,5937,165,6102,0,0,0,0
