question_idx,framework,em,f1,total_tokens
4608,react,1.0,1.0,3166
225,react,1.0,1.0,1973
3655,react,0.0,0.0,5771
3831,react,1.0,1.0,1971
1205,react,1.0,1.0,2037
5373,react,0.0,0.0,8188
2350,react,1.0,1.0,3041
5728,react,0.0,0.0,1997
1994,react,0.0,0.0,2020
7409,react,0.0,0.0,1965
2657,react,1.0,1.0,1982
8960,react,1.0,1.0,3079
8632,react,1.0,1.0,2085
1789,react,1.0,1.0,3092
8370,react,1.0,1.0,2004
9965,react,0.0,0.0,5162
1065,react,1.0,1.0,3287
81,react,0.0,0.0,2025
3581,react,1.0,1.0,2003
4226,react,1.0,1.0,8113
9322,react,1.0,1.0,2090
8303,react,1.0,1.0,5926
6932,react,0.0,0.0,2060
9498,react,1.0,1.0,1854
5381,react,1.0,1.0,2019
4080,react,1.0,1.0,1949
9871,react,1.0,1.0,9740
2985,react,1.0,1.0,1926
5364,react,1.0,1.0,2076
120,react,1.0,1.0,2115
9141,react,1.0,1.0,1969
4324,react,0.0,0.0,3254
7309,react,1.0,1.0,1974
1527,react,1.0,1.0,3158
7706,react,1.0,1.0,2321
7453,react,1.0,1.0,3305
6544,react,1.0,1.0,2063
3255,react,1.0,1.0,9419
6047,react,1.0,1.0,2093
8422,react,1.0,1.0,2111
7587,react,1.0,1.0,3054
8275,react,0.0,0.0,1869
9923,react,1.0,1.0,2119
1419,react,0.0,0.0,1960
6066,react,1.0,1.0,2004
9359,react,0.0,0.0,2044
7169,react,1.0,1.0,1955
9109,react,1.0,1.0,3141
905,react,1.0,1.0,4360
4645,react,1.0,1.0,9269
430,react,1.0,1.0,3056
619,react,0.0,0.0,3175
285,react,1.0,1.0,1975
6739,react,1.0,1.0,4386
5493,react,1.0,1.0,1978
8766,react,1.0,1.0,2127
2667,react,0.0,0.0,2109
3750,react,0.0,0.0,2011
5960,react,1.0,1.0,2033
9634,react,0.0,0.0,7630
3667,react,1.0,1.0,2004
8684,react,0.0,0.0,9718
9428,react,0.0,0.0,1942
4805,react,0.0,0.0,2159
7858,react,1.0,1.0,3044
2745,react,1.0,1.0,1945
7236,react,0.0,0.0,10747
5536,react,0.0,0.0,3696
3546,react,1.0,1.0,2110
9454,react,0.0,0.0,2032
193,react,1.0,1.0,3036
4,react,1.0,1.0,1984
6617,react,0.0,0.0,4661
6348,react,1.0,1.0,2014
1399,react,1.0,1.0,3094
527,react,1.0,1.0,2043
5217,react,0.0,0.0,2131
8256,react,0.0,0.0,2056
8100,react,1.0,1.0,2138
8566,react,1.0,1.0,8903
7795,react,1.0,1.0,2022
2594,react,1.0,1.0,3099
9341,react,1.0,1.0,2017
5031,react,0.0,0.0,2129
2692,react,0.0,0.0,7878
9136,react,1.0,1.0,2005
1952,react,0.0,0.0,1941
9769,react,0.0,0.0,3189
4159,react,1.0,1.0,2010
7978,react,1.0,1.0,1957
7365,react,0.0,0.0,1968
6837,react,0.0,0.0,10237
693,react,0.0,0.0,4787
1412,react,1.0,1.0,2016
9337,react,1.0,1.0,3368
558,react,0.0,0.0,1984
5629,react,0.0,0.0,4329
1178,react,1.0,1.0,2454
3026,react,0.0,0.0,5694
5518,react,0.0,0.0,2138
1122,react,1.0,1.0,2018
1347,react,1.0,1.0,1986
8720,react,1.0,1.0,904
3017,react,1.0,1.0,2022
913,react,0.0,0.0,4460
4832,react,0.0,0.0,3168
2570,react,1.0,1.0,1977
1680,react,1.0,1.0,4618
7539,react,1.0,1.0,2041
4328,react,0.0,0.0,1961
7847,react,0.0,0.0,1963
6579,react,1.0,1.0,3074
6331,react,1.0,1.0,1953
5922,react,0.0,0.0,9866
5352,react,0.0,0.0,2002
6447,react,1.0,1.0,3025
9767,react,1.0,1.0,3344
8806,react,1.0,1.0,3343
4027,react,1.0,1.0,1969
1720,react,0.0,0.0,6002
5025,react,0.0,0.0,3081
4062,react,0.0,0.0,1942
3764,react,0.0,0.0,9218
2729,react,1.0,1.0,2084
6165,react,1.0,1.0,1985
1404,react,1.0,1.0,3135
2623,react,1.0,1.0,2086
4099,react,1.0,1.0,10030
754,react,1.0,1.0,10666
825,react,0.0,0.0,4311
1738,react,1.0,1.0,1996
6224,react,1.0,1.0,3378
6535,react,1.0,1.0,4607
7832,react,1.0,1.0,2042
4754,react,1.0,1.0,2005
633,react,0.0,0.0,7546
3823,react,1.0,1.0,8564
6087,react,1.0,1.0,2018
4992,react,1.0,1.0,9342
8661,react,0.0,0.0,2045
5954,react,1.0,1.0,2060
927,react,1.0,1.0,4414
7288,react,0.0,0.0,2070
5166,react,0.0,0.0,6133
818,react,1.0,1.0,3024
9794,react,1.0,1.0,1974
8747,react,1.0,1.0,4719
7196,react,0.0,0.0,1993
9356,react,0.0,0.0,2401
546,react,1.0,1.0,6039
4091,react,1.0,1.0,2056
4384,react,1.0,1.0,1977
3254,react,1.0,1.0,2116
3053,react,1.0,1.0,4521
404,react,1.0,1.0,1896
6611,react,1.0,1.0,2004
8847,react,1.0,1.0,2068
2919,react,0.0,0.0,2181
1167,react,1.0,1.0,3236
8408,react,0.0,0.0,9845
5972,react,0.0,0.0,7704
6036,react,0.0,0.0,2017
5168,react,1.0,1.0,2117
9670,react,1.0,1.0,1931
5006,react,1.0,1.0,4469
4425,react,0.0,0.0,3117
2294,react,0.0,0.0,2097
6464,react,0.0,0.0,8820
8477,react,1.0,1.0,3104
5871,react,1.0,1.0,1956
232,react,1.0,1.0,3216
880,react,1.0,1.0,2127
9476,react,1.0,1.0,2085
7051,react,0.0,0.0,7013
5733,react,1.0,1.0,3542
9370,react,0.0,0.0,3284
8379,react,1.0,1.0,2191
9395,react,1.0,1.0,2089
2576,react,1.0,1.0,2033
3095,react,1.0,1.0,3860
3389,react,0.0,0.0,1935
5501,react,1.0,1.0,2102
7320,react,1.0,1.0,2097
9459,react,1.0,1.0,1990
9174,react,0.0,0.0,3262
6696,react,1.0,1.0,2191
273,react,1.0,1.0,2058
9536,react,1.0,1.0,9244
3550,react,1.0,1.0,2003
2161,react,0.0,0.0,6493
9989,react,1.0,1.0,2016
5555,react,1.0,1.0,1912
6747,react,0.0,0.0,2035
244,react,1.0,1.0,1887
9666,react,1.0,1.0,2083
6849,react,1.0,1.0,3003
5891,react,0.0,0.0,4644
4320,react,1.0,1.0,1956
3804,react,1.0,1.0,4899
5440,react,1.0,1.0,1963
6349,react,1.0,1.0,1939
3015,react,1.0,1.0,2019
6991,react,0.0,0.0,1983
6526,react,1.0,1.0,3080
16,react,1.0,1.0,1989
3306,react,1.0,1.0,3112
4885,react,1.0,1.0,1992
7083,react,0.0,0.0,4608
6971,react,0.0,0.0,2016
4923,react,1.0,1.0,1934
6829,react,1.0,1.0,2004
2186,react,0.0,0.0,2015
2107,react,1.0,1.0,5973
3266,react,1.0,1.0,3018
8571,react,1.0,1.0,1996
846,react,0.0,0.0,10066
7445,react,0.0,0.0,11434
7831,react,0.0,0.0,4924
8350,react,0.0,0.0,2104
5855,react,1.0,1.0,3200
8808,react,1.0,1.0,3056
7423,react,0.0,0.0,10073
9055,react,0.0,0.0,3077
3547,react,0.0,0.0,2141
9409,react,1.0,1.0,2054
7989,react,1.0,1.0,3206
41,react,1.0,1.0,1959
4728,react,0.0,0.0,4587
1594,react,1.0,1.0,1996
669,react,0.0,0.0,2024
3747,react,1.0,1.0,2070
446,react,0.0,0.0,3412
5030,react,1.0,1.0,1977
5161,react,0.0,0.0,2071
259,react,1.0,1.0,3147
2703,react,1.0,1.0,1916
8028,react,0.0,0.0,9555
857,react,1.0,1.0,1959
3604,react,1.0,1.0,3179
3968,react,1.0,1.0,2104
3069,react,1.0,1.0,9760
9503,react,0.0,0.0,1940
1208,react,1.0,1.0,2069
7091,react,1.0,1.0,3067
5552,react,0.0,0.0,3080
9120,react,0.0,0.0,3216
1746,react,1.0,1.0,3170
806,react,1.0,1.0,2129
226,react,0.0,0.0,1991
1552,react,1.0,1.0,1951
6753,react,0.0,0.0,2003
9529,react,0.0,0.0,9157
9202,react,0.0,0.0,10209
7840,react,1.0,1.0,1944
3284,react,0.0,0.0,2016
5579,react,1.0,1.0,3328
5971,react,0.0,0.0,9556
1354,react,1.0,1.0,2040
5816,react,1.0,1.0,9440
7649,react,0.0,0.0,2052
2146,react,1.0,1.0,2019
7842,react,1.0,1.0,2530
906,react,1.0,1.0,2084
4974,react,1.0,1.0,2197
394,react,0.0,0.0,2149
1092,react,0.0,0.0,3123
3169,react,1.0,1.0,2344
1589,react,0.0,0.0,1958
7899,react,0.0,0.0,1981
3603,react,0.0,0.0,2230
6996,react,1.0,1.0,1976
8123,react,1.0,1.0,1959
3817,react,1.0,1.0,1933
5277,react,1.0,1.0,2142
1098,react,1.0,1.0,1995
4369,react,0.0,0.0,8853
1402,react,1.0,1.0,3184
2464,react,0.0,0.0,3335
5090,react,1.0,1.0,2017
8952,react,1.0,1.0,3125
6031,react,1.0,1.0,1990
7440,react,0.0,0.0,1959
7717,react,1.0,1.0,1982
5042,react,0.0,0.0,2013
8075,react,1.0,1.0,3070
1330,react,1.0,1.0,2050
5762,react,1.0,1.0,3068
7069,react,1.0,1.0,9653
2577,react,1.0,1.0,2079
7030,react,1.0,1.0,1956
5163,react,0.0,0.0,4853
4144,react,1.0,1.0,3122
9172,react,1.0,1.0,2072
3641,react,0.0,0.0,3116
292,react,1.0,1.0,2021
9768,react,0.0,0.0,2056
1765,react,1.0,1.0,2133
1726,react,0.0,0.0,9142
7382,react,1.0,1.0,4845
1887,react,1.0,1.0,2074
3047,react,0.0,0.0,888
1936,react,0.0,0.0,2059
3898,react,1.0,1.0,3164
4221,react,1.0,1.0,2057
7822,react,0.0,0.0,5883
5229,react,1.0,1.0,2141
7564,react,0.0,0.0,9003
4993,react,0.0,0.0,3159
1783,react,1.0,1.0,2059
9724,react,1.0,1.0,1962
8772,react,1.0,1.0,2055
3020,react,0.0,0.0,3135
2925,react,0.0,0.0,2074
4125,react,1.0,1.0,2034
8289,react,1.0,1.0,9074
6406,react,1.0,1.0,2063
1139,react,1.0,1.0,2100
4210,react,1.0,1.0,2071
227,react,0.0,0.0,2083
1012,react,1.0,1.0,1974
2639,react,1.0,1.0,2407
8930,react,0.0,0.0,3203
7336,react,0.0,0.0,1968
4790,react,0.0,0.0,3083
6638,react,1.0,1.0,2023
1575,react,0.0,0.0,2039
5343,react,1.0,1.0,3075
2690,react,0.0,0.0,4884
7428,react,1.0,1.0,2056
642,react,1.0,1.0,1965
1941,react,0.0,0.0,2257
9612,react,1.0,1.0,3101
1276,react,0.0,0.0,2163
6111,react,1.0,1.0,2261
1384,react,1.0,1.0,3051
5302,react,1.0,1.0,3195
3370,react,1.0,1.0,3121
5092,react,1.0,1.0,2036
8744,react,1.0,1.0,1992
6798,react,1.0,1.0,2040
609,react,1.0,1.0,9382
8729,react,0.0,0.0,4424
2990,react,1.0,1.0,2062
1615,react,1.0,1.0,1970
5378,react,1.0,1.0,2137
4373,cot_sc,0.0,0.0,9690
4411,cot_sc,1.0,1.0,12606
7752,cot_sc,1.0,1.0,35003
2078,cot_sc,0.0,0.0,10127
7777,cot_sc,1.0,1.0,9670
7398,cot_sc,1.0,1.0,10263
2021,cot_sc,0.0,0.0,13657
8755,cot_sc,0.0,0.0,31633
4242,cot_sc,0.0,0.0,21665
5880,cot_sc,1.0,1.0,20349
4795,cot_sc,1.0,1.0,18348
9500,cot_sc,1.0,1.0,9748
344,cot_sc,0.0,0.0,13884
2194,cot_sc,0.0,0.0,28017
3125,cot_sc,1.0,1.0,13450
7350,cot_sc,0.0,0.0,12844
4187,cot_sc,1.0,1.0,11688
1564,cot_sc,0.0,0.0,13191
8501,cot_sc,1.0,1.0,9916
7826,cot_sc,1.0,1.0,20444
2634,cot_sc,1.0,1.0,11535
6223,cot_sc,1.0,1.0,13502
2939,cot_sc,1.0,1.0,17923
7736,cot_sc,1.0,1.0,33530
6431,cot_sc,0.0,0.0,13499
8853,cot_sc,1.0,1.0,13875
8292,cot_sc,1.0,1.0,10047
4922,cot_sc,1.0,1.0,8941
9578,cot_sc,1.0,1.0,10263
6280,cot_sc,0.0,0.0,22200
5545,cot_sc,1.0,1.0,20564
8144,cot_sc,0.0,0.0,29086
9250,cot_sc,0.0,0.0,21907
2632,cot_sc,1.0,1.0,18017
1652,cot_sc,1.0,1.0,11656
234,cot_sc,0.0,0.0,17234
5535,cot_sc,1.0,1.0,12394
2432,cot_sc,1.0,1.0,15182
3854,cot_sc,1.0,1.0,11179
9696,cot_sc,1.0,1.0,13818
1950,cot_sc,1.0,1.0,14048
342,cot_sc,1.0,1.0,13037
6116,cot_sc,0.0,0.0,31558
6266,cot_sc,1.0,1.0,12058
6686,cot_sc,0.0,0.0,14195
4877,cot_sc,0.0,0.0,18741
705,cot_sc,1.0,1.0,10634
6245,cot_sc,1.0,1.0,9985
2278,cot_sc,0.0,0.0,12510
8642,cot_sc,1.0,1.0,24290
644,cot_sc,1.0,1.0,15417
2850,cot_sc,1.0,1.0,9848
5903,cot_sc,1.0,1.0,27666
150,cot_sc,0.0,0.0,12329
7976,cot_sc,1.0,1.0,29885
867,cot_sc,1.0,1.0,13212
6248,cot_sc,1.0,1.0,10034
8712,cot_sc,1.0,1.0,26402
4260,cot_sc,0.0,0.0,10014
4562,cot_sc,1.0,1.0,9562
441,cot_sc,1.0,1.0,14256
1019,cot_sc,1.0,1.0,9637
4950,cot_sc,1.0,1.0,10897
7521,cot_sc,1.0,1.0,17956
4312,cot_sc,1.0,1.0,9920
294,cot_sc,1.0,1.0,13623
1613,cot_sc,1.0,1.0,9980
5524,cot_sc,0.0,0.0,9573
9836,cot_sc,1.0,1.0,10808
7088,cot_sc,0.0,0.0,23269
1413,cot_sc,1.0,1.0,11150
6656,cot_sc,1.0,1.0,12951
9954,cot_sc,0.0,0.0,26896
9131,cot_sc,0.0,0.0,11194
5917,cot_sc,1.0,1.0,18463
6853,cot_sc,0.0,0.0,29791
7884,cot_sc,1.0,1.0,13972
1068,cot_sc,0.0,0.0,11280
470,cot_sc,0.0,0.0,16148
4007,cot_sc,1.0,1.0,9701
9761,cot_sc,0.0,0.0,9763
2114,cot_sc,1.0,1.0,9730
8199,cot_sc,1.0,1.0,18440
3905,cot_sc,1.0,1.0,31815
4218,cot_sc,1.0,1.0,10850
2019,cot_sc,1.0,1.0,13853
7525,cot_sc,1.0,1.0,20935
3148,cot_sc,0.0,0.0,27268
1924,cot_sc,0.0,0.0,10191
4921,cot_sc,1.0,1.0,9754
4410,cot_sc,1.0,1.0,12253
2778,cot_sc,1.0,1.0,11734
7732,cot_sc,1.0,1.0,11168
3121,cot_sc,1.0,1.0,9672
8565,cot_sc,0.0,0.0,9680
5516,cot_sc,0.0,0.0,9977
6857,cot_sc,0.0,0.0,9670
4508,cot_sc,0.0,0.0,9358
4025,cot_sc,1.0,1.0,9098
6521,cot_sc,0.0,0.0,9723
9396,cot_sc,1.0,1.0,10756
7968,cot_sc,1.0,1.0,21086
3,cot_sc,0.0,0.0,9514
1495,cot_sc,1.0,1.0,9766
7554,cot_sc,1.0,1.0,12284
8074,cot_sc,1.0,1.0,31036
2324,cot_sc,1.0,1.0,9736
2406,cot_sc,1.0,1.0,9378
699,cot_sc,0.0,0.0,21511
5805,cot_sc,1.0,1.0,32211
9070,cot_sc,1.0,1.0,9773
2168,cot_sc,0.0,0.0,38340
4086,cot_sc,1.0,1.0,11539
8586,cot_sc,0.0,0.0,19673
3675,cot_sc,1.0,1.0,19344
7916,cot_sc,1.0,1.0,10141
7103,cot_sc,1.0,1.0,9941
4079,cot_sc,0.0,0.0,11343
1857,cot_sc,1.0,1.0,9580
3351,cot_sc,0.0,0.0,20022
9800,cot_sc,1.0,1.0,28839
2693,cot_sc,1.0,1.0,22664
2119,cot_sc,0.0,0.0,10511
44,cot_sc,1.0,1.0,20120
4452,cot_sc,1.0,1.0,12022
9903,cot_sc,0.0,0.0,9867
2548,cot_sc,0.0,0.0,10629
8675,cot_sc,0.0,0.0,9946
7355,cot_sc,0.0,0.0,23508
4326,cot_sc,1.0,1.0,12971
3691,cot_sc,1.0,1.0,14072
3568,cot_sc,0.0,0.0,12977
762,cot_sc,1.0,1.0,9789
2492,cot_sc,0.0,0.0,28042
9445,cot_sc,1.0,1.0,13386
7187,cot_sc,0.0,0.0,20453
8129,cot_sc,1.0,1.0,12947
6454,cot_sc,1.0,1.0,9375
6886,cot_sc,1.0,1.0,11095
1023,cot_sc,0.0,0.0,19780
9981,cot_sc,1.0,1.0,9941
8921,cot_sc,0.0,0.0,10139
7674,cot_sc,1.0,1.0,13786
2073,cot_sc,0.0,0.0,34717
6466,cot_sc,0.0,0.0,11100
6455,cot_sc,1.0,1.0,32363
8956,cot_sc,0.0,0.0,11269
3445,cot_sc,1.0,1.0,11252
380,cot_sc,0.0,0.0,10423
3018,cot_sc,1.0,1.0,15378
5620,cot_sc,1.0,1.0,10581
9889,cot_sc,0.0,0.0,9664
5798,cot_sc,1.0,1.0,11557
6458,cot_sc,1.0,1.0,9781
9581,cot_sc,0.0,0.0,33044
4608,cot_sc,1.0,1.0,12293
225,cot_sc,1.0,1.0,9430
3655,cot_sc,0.0,0.0,20576
3831,cot_sc,1.0,1.0,9498
1205,cot_sc,1.0,1.0,9939
5373,cot_sc,0.0,0.0,24842
2350,cot_sc,1.0,1.0,10716
5728,cot_sc,0.0,0.0,11939
1994,cot_sc,0.0,0.0,9839
7409,cot_sc,0.0,0.0,12441
2657,cot_sc,1.0,1.0,9759
8960,cot_sc,1.0,1.0,13001
8632,cot_sc,1.0,1.0,10181
1789,cot_sc,0.0,0.0,13276
8370,cot_sc,1.0,1.0,9657
9965,cot_sc,0.0,0.0,24719
1065,cot_sc,1.0,1.0,26212
81,cot_sc,0.0,0.0,9574
3581,cot_sc,1.0,1.0,9626
4226,cot_sc,1.0,1.0,22913
9322,cot_sc,1.0,1.0,10368
8303,cot_sc,1.0,1.0,13731
6932,cot_sc,1.0,1.0,22608
9498,cot_sc,1.0,1.0,12672
5381,cot_sc,1.0,1.0,9702
4080,cot_sc,1.0,1.0,25008
9871,cot_sc,1.0,1.0,29471
2985,cot_sc,1.0,1.0,9191
5364,cot_sc,1.0,1.0,11166
120,cot_sc,1.0,1.0,10345
9141,cot_sc,1.0,1.0,14967
4324,cot_sc,0.0,0.0,11401
7309,cot_sc,1.0,1.0,9615
1527,cot_sc,1.0,1.0,9787
7706,cot_sc,1.0,1.0,11610
7453,cot_sc,1.0,1.0,11980
6544,cot_sc,1.0,1.0,17518
3255,cot_sc,1.0,1.0,16436
6047,cot_sc,1.0,1.0,30859
8422,cot_sc,1.0,1.0,10256
7587,cot_sc,1.0,1.0,11776
8275,cot_sc,0.0,0.0,10872
9923,cot_sc,1.0,1.0,12776
1419,cot_sc,0.0,0.0,9360
6066,cot_sc,1.0,1.0,10926
9359,cot_sc,0.0,0.0,9825
7169,cot_sc,1.0,1.0,9404
9109,cot_sc,1.0,1.0,12693
905,cot_sc,1.0,1.0,14591
4645,cot_sc,1.0,1.0,29944
430,cot_sc,1.0,1.0,10690
619,cot_sc,0.0,0.0,20616
285,cot_sc,1.0,1.0,12726
6739,cot_sc,0.0,0.0,8938
5493,cot_sc,1.0,1.0,11796
8766,cot_sc,1.0,1.0,13897
2667,cot_sc,1.0,1.0,21036
3750,cot_sc,0.0,0.0,16525
5960,cot_sc,1.0,1.0,9938
9634,cot_sc,0.0,0.0,27042
3667,cot_sc,1.0,1.0,9704
8684,cot_sc,0.0,0.0,26382
9428,cot_sc,0.0,0.0,9323
4805,cot_sc,0.0,0.0,13384
7858,cot_sc,1.0,1.0,10799
2745,cot_sc,1.0,1.0,9456
7236,cot_sc,1.0,1.0,26942
5536,cot_sc,0.0,0.0,20081
3546,cot_sc,1.0,1.0,10350
9454,cot_sc,0.0,0.0,9911
193,cot_sc,1.0,1.0,9290
4,cot_sc,1.0,1.0,9560
6617,cot_sc,0.0,0.0,27949
6348,cot_sc,1.0,1.0,9755
1399,cot_sc,1.0,1.0,15580
527,cot_sc,1.0,1.0,9794
5217,cot_sc,0.0,0.0,12163
8256,cot_sc,0.0,0.0,10094
8100,cot_sc,1.0,1.0,13006
8566,cot_sc,0.0,0.0,23248
7795,cot_sc,1.0,1.0,13323
2594,cot_sc,0.0,0.0,12066
9341,cot_sc,1.0,1.0,9826
5031,cot_sc,0.0,0.0,11778
2692,cot_sc,0.0,0.0,35218
9136,cot_sc,1.0,1.0,9664
1952,cot_sc,0.0,0.0,9371
9769,cot_sc,0.0,0.0,11135
4159,cot_sc,1.0,1.0,9739
7978,cot_sc,1.0,1.0,9408
7365,cot_sc,0.0,0.0,16289
6837,cot_sc,0.0,0.0,35705
693,cot_sc,0.0,0.0,26300
1412,cot_sc,1.0,1.0,10897
9337,cot_sc,1.0,1.0,14665
558,cot_sc,0.0,0.0,9626
5629,cot_sc,0.0,0.0,31099
1178,cot_sc,1.0,1.0,16468
3026,cot_sc,0.0,0.0,19462
5518,cot_sc,0.0,0.0,15078
1122,cot_sc,1.0,1.0,9765
1347,cot_sc,1.0,1.0,9617
8720,cot_sc,0.0,0.0,8583
3017,cot_sc,1.0,1.0,12195
913,cot_sc,0.0,0.0,22297
4832,cot_sc,0.0,0.0,11446
2570,cot_sc,1.0,1.0,10779
1680,cot_sc,1.0,1.0,22247
7539,cot_sc,1.0,1.0,9822
4328,cot_sc,0.0,0.0,9456
7847,cot_sc,0.0,0.0,9427
6579,cot_sc,0.0,0.0,10063
6331,cot_sc,1.0,1.0,10729
5922,cot_sc,1.0,1.0,28400
5352,cot_sc,0.0,0.0,9722
6447,cot_sc,1.0,1.0,14300
9767,cot_sc,1.0,1.0,22313
8806,cot_sc,1.0,1.0,15434
4027,cot_sc,1.0,1.0,9484
1720,cot_sc,1.0,1.0,27812
5025,cot_sc,0.0,0.0,10768
4062,cot_sc,0.0,0.0,9330
3764,cot_sc,1.0,1.0,36386
2729,cot_sc,1.0,1.0,10189
6165,cot_sc,1.0,1.0,9636
1404,cot_sc,1.0,1.0,12376
2623,cot_sc,1.0,1.0,10225
754,cot_sc,0.0,0.0,20210
825,cot_sc,0.0,0.0,15051
1738,cot_sc,1.0,1.0,9612
6224,cot_sc,1.0,1.0,15126
6535,cot_sc,1.0,1.0,17211
7832,cot_sc,1.0,1.0,9898
4754,cot_sc,1.0,1.0,9734
633,cot_sc,0.0,0.0,28769
3823,cot_sc,0.0,0.0,31008
6087,cot_sc,0.0,0.0,10899
4992,cot_sc,0.0,0.0,33154
8661,cot_sc,0.0,0.0,19974
5954,cot_sc,0.0,0.0,17043
927,cot_sc,1.0,1.0,14825
7288,cot_sc,1.0,1.0,11539
5166,cot_sc,0.0,0.0,21025
818,cot_sc,1.0,1.0,15719
9794,cot_sc,1.0,1.0,11808
8747,cot_sc,1.0,1.0,22514
7196,cot_sc,0.0,0.0,9668
